"year","species","organismQuantity","decimalLongitude","decimalLatitude","LocationID","habitat"
1998,"Alauda arvensis",4,11.3098,58.4315,3,"Farms"
1998,"Anthus pratensis",3,11.3098,58.4315,3,"Farms"
1998,"Emberiza citrinella",10,11.3098,58.4315,3,"Farms"
1998,"Sturnus vulgaris",10,11.3098,58.4315,3,"Farms"
1998,"Sylvia communis",13,11.3098,58.4315,3,"Farms"
1998,"Alauda arvensis",12,11.8126,57.7741,10,"Farms"
1998,"Anthus pratensis",2,11.8126,57.7741,10,"Farms"
1998,"Emberiza citrinella",11,11.8126,57.7741,10,"Farms"
1998,"Falco tinnunculus",1,11.8126,57.7741,10,"Farms"
1998,"Passer montanus",4,11.8126,57.7741,10,"Farms"
1998,"Sturnus vulgaris",23,11.8126,57.7741,10,"Farms"
1998,"Sylvia communis",12,11.8126,57.7741,10,"Farms"
1998,"Vanellus vanellus",14,11.8126,57.7741,10,"Farms"
1998,"Emberiza citrinella",1,12.0433,59.5784,12,"Farms"
1998,"Emberiza citrinella",8,12.1167,58.9066,16,"Farms"
1998,"Saxicola rubetra",1,12.1167,58.9066,16,"Farms"
1998,"Sturnus vulgaris",5,12.1167,58.9066,16,"Farms"
1998,"Alauda arvensis",29,12.2095,58.0107,22,"Farms"
1998,"Anthus pratensis",1,12.2095,58.0107,22,"Farms"
1998,"Emberiza citrinella",30,12.2095,58.0107,22,"Farms"
1998,"Passer montanus",9,12.2095,58.0107,22,"Farms"
1998,"Saxicola rubetra",8,12.2095,58.0107,22,"Farms"
1998,"Sturnus vulgaris",51,12.2095,58.0107,22,"Farms"
1998,"Sylvia communis",6,12.2095,58.0107,22,"Farms"
1998,"Vanellus vanellus",2,12.2095,58.0107,22,"Farms"
1998,"Alauda arvensis",3,12.2318,57.7866,23,"Farms"
1998,"Emberiza citrinella",14,12.2318,57.7866,23,"Farms"
1998,"Motacilla flava",5,12.2318,57.7866,23,"Farms"
1998,"Passer montanus",1,12.2318,57.7866,23,"Farms"
1998,"Saxicola rubetra",1,12.2318,57.7866,23,"Farms"
1998,"Sturnus vulgaris",49,12.2318,57.7866,23,"Farms"
1998,"Sylvia communis",7,12.2318,57.7866,23,"Farms"
1998,"Motacilla flava",14,12.2453,61.83,24,"Farms"
1998,"Saxicola rubetra",2,12.2453,61.83,24,"Farms"
1998,"Emberiza citrinella",1,12.2538,57.5626,25,"Farms"
1998,"Anthus pratensis",3,12.5259,63.6331,33,"Farms"
1998,"Anthus pratensis",51,12.5767,63.1853,37,"Farms"
1998,"Anthus pratensis",31,12.6014,62.9614,39,"Farms"
1998,"Alauda arvensis",19,12.6317,58.0219,42,"Farms"
1998,"Emberiza citrinella",3,12.6317,58.0219,42,"Farms"
1998,"Passer montanus",3,12.6317,58.0219,42,"Farms"
1998,"Saxicola rubetra",2,12.6317,58.0219,42,"Farms"
1998,"Sturnus vulgaris",7,12.6317,58.0219,42,"Farms"
1998,"Sylvia communis",1,12.6317,58.0219,42,"Farms"
1998,"Emberiza citrinella",3,12.69,57.3495,47,"Farms"
1998,"Sturnus vulgaris",2,12.69,57.3495,47,"Farms"
1998,"Alauda arvensis",5,12.7275,56.9012,51,"Farms"
1998,"Emberiza citrinella",3,12.7275,56.9012,51,"Farms"
1998,"Passer montanus",17,12.7275,56.9012,51,"Farms"
1998,"Saxicola rubetra",3,12.7275,56.9012,51,"Farms"
1998,"Sylvia communis",3,12.7275,56.9012,51,"Farms"
1998,"Alauda arvensis",8,12.7458,56.677,53,"Farms"
1998,"Emberiza citrinella",2,12.7458,56.677,53,"Farms"
1998,"Passer montanus",11,12.7458,56.677,53,"Farms"
1998,"Sturnus vulgaris",55,12.7458,56.677,53,"Farms"
1998,"Sylvia communis",6,12.7458,56.677,53,"Farms"
1998,"Vanellus vanellus",1,12.7458,56.677,53,"Farms"
1998,"Alauda arvensis",29,12.7993,56.0044,57,"Farms"
1998,"Emberiza citrinella",2,12.7993,56.0044,57,"Farms"
1998,"Falco tinnunculus",2,12.7993,56.0044,57,"Farms"
1998,"Passer montanus",212,12.7993,56.0044,57,"Farms"
1998,"Sturnus vulgaris",59,12.7993,56.0044,57,"Farms"
1998,"Sylvia communis",15,12.7993,56.0044,57,"Farms"
1998,"Vanellus vanellus",6,12.7993,56.0044,57,"Farms"
1998,"Emberiza citrinella",1,12.9076,59.825,63,"Farms"
1998,"Saxicola rubetra",1,12.9076,59.825,63,"Farms"
1998,"Alauda arvensis",1,12.927,59.6009,64,"Farms"
1998,"Emberiza citrinella",1,12.927,59.6009,64,"Farms"
1998,"Saxicola rubetra",3,12.927,59.6009,64,"Farms"
1998,"Sturnus vulgaris",2,12.927,59.6009,64,"Farms"
1998,"Sylvia communis",1,12.927,59.6009,64,"Farms"
1998,"Emberiza citrinella",4,12.946,59.3767,65,"Farms"
1998,"Alauda arvensis",36,13.0193,58.4801,67,"Farms"
1998,"Emberiza citrinella",21,13.0193,58.4801,67,"Farms"
1998,"Passer montanus",1,13.0193,58.4801,67,"Farms"
1998,"Saxicola rubetra",14,13.0193,58.4801,67,"Farms"
1998,"Sturnus vulgaris",36,13.0193,58.4801,67,"Farms"
1998,"Anthus pratensis",7,13.0513,63.4197,69,"Farms"
1998,"Emberiza citrinella",3,13.0513,63.4197,69,"Farms"
1998,"Sturnus vulgaris",1,13.0513,63.4197,69,"Farms"
1998,"Alauda arvensis",14,13.0714,57.8075,71,"Farms"
1998,"Emberiza citrinella",22,13.0714,57.8075,71,"Farms"
1998,"Passer montanus",10,13.0714,57.8075,71,"Farms"
1998,"Saxicola rubetra",9,13.0714,57.8075,71,"Farms"
1998,"Sturnus vulgaris",40,13.0714,57.8075,71,"Farms"
1998,"Sylvia communis",7,13.0714,57.8075,71,"Farms"
1998,"Vanellus vanellus",1,13.0714,57.8075,71,"Farms"
1998,"Anthus pratensis",4,13.0726,63.1957,72,"Farms"
1998,"Emberiza citrinella",2,13.1048,57.3591,74,"Farms"
1998,"Emberiza citrinella",3,13.1212,57.1349,76,"Farms"
1998,"Sturnus vulgaris",3,13.1212,57.1349,76,"Farms"
1998,"Sylvia communis",1,13.1212,57.1349,76,"Farms"
1998,"Emberiza citrinella",7,13.1532,56.6864,79,"Farms"
1998,"Saxicola rubetra",3,13.1532,56.6864,79,"Farms"
1998,"Sturnus vulgaris",8,13.1532,56.6864,79,"Farms"
1998,"Anthus pratensis",2,13.1543,62.2995,80,"Farms"
1998,"Motacilla flava",6,13.1543,62.2995,80,"Farms"
1998,"Saxicola rubetra",1,13.1543,62.2995,80,"Farms"
1998,"Anthus pratensis",5,13.2121,61.6272,86,"Farms"
1998,"Emberiza citrinella",1,13.2121,61.6272,86,"Farms"
1998,"Saxicola rubetra",2,13.2121,61.6272,86,"Farms"
1998,"Alauda arvensis",46,13.2146,55.7892,87,"Farms"
1998,"Anthus pratensis",2,13.2146,55.7892,87,"Farms"
1998,"Emberiza citrinella",1,13.2146,55.7892,87,"Farms"
1998,"Falco tinnunculus",1,13.2146,55.7892,87,"Farms"
1998,"Passer montanus",34,13.2146,55.7892,87,"Farms"
1998,"Sturnus vulgaris",28,13.2146,55.7892,87,"Farms"
1998,"Sylvia communis",4,13.2146,55.7892,87,"Farms"
1998,"Vanellus vanellus",14,13.2146,55.7892,87,"Farms"
1998,"Anthus pratensis",13,13.2307,61.4031,89,"Farms"
1998,"Falco tinnunculus",3,13.2307,61.4031,89,"Farms"
1998,"Motacilla flava",12,13.2307,61.4031,89,"Farms"
1998,"Emberiza citrinella",1,13.3363,60.0582,95,"Farms"
1998,"Saxicola rubetra",1,13.3363,60.0582,95,"Farms"
1998,"Emberiza citrinella",2,13.3693,59.6099,97,"Farms"
1998,"Emberiza citrinella",5,13.3854,59.3856,98,"Farms"
1998,"Sturnus vulgaris",4,13.3854,59.3856,98,"Farms"
1998,"Sylvia communis",4,13.3854,59.3856,98,"Farms"
1998,"Alauda arvensis",61,13.4623,58.2645,100,"Farms"
1998,"Anthus pratensis",1,13.4623,58.2645,100,"Farms"
1998,"Emberiza citrinella",16,13.4623,58.2645,100,"Farms"
1998,"Falco tinnunculus",1,13.4623,58.2645,100,"Farms"
1998,"Motacilla flava",11,13.4623,58.2645,100,"Farms"
1998,"Saxicola rubetra",16,13.4623,58.2645,100,"Farms"
1998,"Sturnus vulgaris",31,13.4623,58.2645,100,"Farms"
1998,"Sylvia communis",4,13.4623,58.2645,100,"Farms"
1998,"Vanellus vanellus",38,13.4623,58.2645,100,"Farms"
1998,"Alauda arvensis",24,13.477,58.0402,101,"Farms"
1998,"Anthus pratensis",1,13.477,58.0402,101,"Farms"
1998,"Emberiza citrinella",19,13.477,58.0402,101,"Farms"
1998,"Falco tinnunculus",1,13.477,58.0402,101,"Farms"
1998,"Passer montanus",1,13.477,58.0402,101,"Farms"
1998,"Saxicola rubetra",10,13.477,58.0402,101,"Farms"
1998,"Sturnus vulgaris",32,13.477,58.0402,101,"Farms"
1998,"Sylvia communis",6,13.477,58.0402,101,"Farms"
1998,"Vanellus vanellus",11,13.477,58.0402,101,"Farms"
1998,"Emberiza citrinella",2,13.4915,57.8159,102,"Farms"
1998,"Alauda arvensis",4,13.5199,57.3673,105,"Farms"
