"locationID","year","species","individualCount","decimalLongitude","decimalLatitude","habitat"
1,1997,"Alauda arvensis",2,13.229,55.565,"Farms"
1,1999,"Alauda arvensis",1,13.229,55.565,"Farms"
1,2007,"Alauda arvensis",3,13.229,55.565,"Farms"
1,2010,"Alauda arvensis",2,13.229,55.565,"Farms"
1,2014,"Alauda arvensis",2,13.229,55.565,"Farms"
1,2017,"Alauda arvensis",1,13.229,55.565,"Farms"
1,2018,"Alauda arvensis",5,13.229,55.565,"Farms"
2,1997,"Alauda arvensis",23,13.215,55.789,"Farms"
2,1998,"Alauda arvensis",46,13.215,55.789,"Farms"
2,2000,"Alauda arvensis",18,13.215,55.789,"Farms"
2,2001,"Alauda arvensis",24,13.215,55.789,"Farms"
2,2002,"Alauda arvensis",31,13.215,55.789,"Farms"
2,2003,"Alauda arvensis",32,13.215,55.789,"Farms"
2,2004,"Alauda arvensis",22,13.215,55.789,"Farms"
2,2006,"Alauda arvensis",18,13.215,55.789,"Farms"
2,2008,"Alauda arvensis",14,13.215,55.789,"Farms"
2,2009,"Alauda arvensis",13,13.215,55.789,"Farms"
2,2010,"Alauda arvensis",14,13.215,55.789,"Farms"
2,2011,"Alauda arvensis",22,13.215,55.789,"Farms"
2,2012,"Alauda arvensis",16,13.215,55.789,"Farms"
2,2013,"Alauda arvensis",15,13.215,55.789,"Farms"
2,2014,"Alauda arvensis",11,13.215,55.789,"Farms"
2,2015,"Alauda arvensis",6,13.215,55.789,"Farms"
2,2016,"Alauda arvensis",12,13.215,55.789,"Farms"
2,2017,"Alauda arvensis",15,13.215,55.789,"Farms"
2,2018,"Alauda arvensis",16,13.215,55.789,"Farms"
3,1999,"Alauda arvensis",43,13.625,55.573,"Farms"
3,2000,"Alauda arvensis",39,13.625,55.573,"Farms"
3,2001,"Alauda arvensis",47,13.625,55.573,"Farms"
3,2002,"Alauda arvensis",17,13.625,55.573,"Farms"
3,2003,"Alauda arvensis",19,13.625,55.573,"Farms"
3,2004,"Alauda arvensis",14,13.625,55.573,"Farms"
3,2005,"Alauda arvensis",26,13.625,55.573,"Farms"
3,2006,"Alauda arvensis",21,13.625,55.573,"Farms"
3,2007,"Alauda arvensis",21,13.625,55.573,"Farms"
3,2008,"Alauda arvensis",22,13.625,55.573,"Farms"
3,2009,"Alauda arvensis",17,13.625,55.573,"Farms"
3,2010,"Alauda arvensis",24,13.625,55.573,"Farms"
3,2011,"Alauda arvensis",18,13.625,55.573,"Farms"
3,2012,"Alauda arvensis",19,13.625,55.573,"Farms"
3,2013,"Alauda arvensis",24,13.625,55.573,"Farms"
3,2014,"Alauda arvensis",18,13.625,55.573,"Farms"
3,2015,"Alauda arvensis",15,13.625,55.573,"Farms"
3,2016,"Alauda arvensis",17,13.625,55.573,"Farms"
3,2017,"Alauda arvensis",15,13.625,55.573,"Farms"
3,2018,"Alauda arvensis",12,13.625,55.573,"Farms"
4,1997,"Alauda arvensis",54,14.021,55.579,"Farms"
4,1998,"Alauda arvensis",63,14.021,55.579,"Farms"
4,1999,"Alauda arvensis",73,14.021,55.579,"Farms"
4,2000,"Alauda arvensis",68,14.021,55.579,"Farms"
4,2001,"Alauda arvensis",79,14.021,55.579,"Farms"
4,2002,"Alauda arvensis",88,14.021,55.579,"Farms"
4,2004,"Alauda arvensis",109,14.021,55.579,"Farms"
4,2006,"Alauda arvensis",17,14.021,55.579,"Farms"
4,2008,"Alauda arvensis",80,14.021,55.579,"Farms"
4,2009,"Alauda arvensis",65,14.021,55.579,"Farms"
4,2010,"Alauda arvensis",181,14.021,55.579,"Farms"
4,2011,"Alauda arvensis",115,14.021,55.579,"Farms"
4,2012,"Alauda arvensis",51,14.021,55.579,"Farms"
4,2014,"Alauda arvensis",74,14.021,55.579,"Farms"
4,2015,"Alauda arvensis",63,14.021,55.579,"Farms"
4,2016,"Alauda arvensis",73,14.021,55.579,"Farms"
4,2017,"Alauda arvensis",70,14.021,55.579,"Farms"
4,2018,"Alauda arvensis",56,14.021,55.579,"Farms"
5,2001,"Alauda arvensis",42,13.613,55.797,"Farms"
5,2002,"Alauda arvensis",35,13.613,55.797,"Farms"
5,2003,"Alauda arvensis",107,13.613,55.797,"Farms"
5,2004,"Alauda arvensis",55,13.613,55.797,"Farms"
5,2005,"Alauda arvensis",95,13.613,55.797,"Farms"
5,2006,"Alauda arvensis",49,13.613,55.797,"Farms"
5,2007,"Alauda arvensis",71,13.613,55.797,"Farms"
5,2008,"Alauda arvensis",60,13.613,55.797,"Farms"
5,2009,"Alauda arvensis",66,13.613,55.797,"Farms"
5,2010,"Alauda arvensis",78,13.613,55.797,"Farms"
5,2011,"Alauda arvensis",78,13.613,55.797,"Farms"
5,2012,"Alauda arvensis",79,13.613,55.797,"Farms"
5,2013,"Alauda arvensis",75,13.613,55.797,"Farms"
5,2014,"Alauda arvensis",76,13.613,55.797,"Farms"
5,2015,"Alauda arvensis",92,13.613,55.797,"Farms"
5,2016,"Alauda arvensis",105,13.613,55.797,"Farms"
5,2017,"Alauda arvensis",83,13.613,55.797,"Farms"
5,2018,"Alauda arvensis",68,13.613,55.797,"Farms"
6,1997,"Alauda arvensis",3,14.011,55.803,"Farms"
6,1998,"Alauda arvensis",3,14.011,55.803,"Farms"
6,1999,"Alauda arvensis",3,14.011,55.803,"Farms"
6,2000,"Alauda arvensis",2,14.011,55.803,"Farms"
6,2001,"Alauda arvensis",2,14.011,55.803,"Farms"
6,2002,"Alauda arvensis",4,14.011,55.803,"Farms"
6,2004,"Alauda arvensis",2,14.011,55.803,"Farms"
6,2005,"Alauda arvensis",2,14.011,55.803,"Farms"
6,2006,"Alauda arvensis",1,14.011,55.803,"Farms"
6,2007,"Alauda arvensis",2,14.011,55.803,"Farms"
6,2008,"Alauda arvensis",2,14.011,55.803,"Farms"
6,2009,"Alauda arvensis",1,14.011,55.803,"Farms"
6,2011,"Alauda arvensis",5,14.011,55.803,"Farms"
6,2012,"Alauda arvensis",1,14.011,55.803,"Farms"
6,2015,"Alauda arvensis",1,14.011,55.803,"Farms"
6,2016,"Alauda arvensis",1,14.011,55.803,"Farms"
6,2017,"Alauda arvensis",1,14.011,55.803,"Farms"
6,2018,"Alauda arvensis",3,14.011,55.803,"Farms"
7,1997,"Alauda arvensis",32,12.799,56.004,"Farms"
7,1998,"Alauda arvensis",29,12.799,56.004,"Farms"
7,1999,"Alauda arvensis",29,12.799,56.004,"Farms"
7,2002,"Alauda arvensis",27,12.799,56.004,"Farms"
7,2003,"Alauda arvensis",22,12.799,56.004,"Farms"
7,2004,"Alauda arvensis",20,12.799,56.004,"Farms"
7,2005,"Alauda arvensis",13,12.799,56.004,"Farms"
